149	6.00	2.303
187	4.95	2.192
233	3.60	2.028
266	3.05	1.953
297	2.40	1.856
314	2.00	1.792
330	1.95	1.783
354	1.45	1.696
376	1.05	1.619
394	0.95	1.599
420	0.40	1.482
441	0.05	1.399
461	0.00	1.386
488	-0.30	1.308
551	-0.90	1.131
		
193	8.40	2.518
255	7.40	2.434
302	6.70	2.370
336	6.45	2.347
440	5.20	2.219
475	4.80	2.175
517	4.20	2.104
559	3.80	2.054
619	3.25	1.981
667	2.85	1.924
801	1.90	1.775
916	1.10	1.629
981	0.80	1.569
1027	0.60	1.526
1132	-0.05	1.374
		
132	10.05	2.643
193	9.30	2.588
240	8.80	2.549
298	8.20	2.501
426	7.10	2.407
543	5.90	2.293
677	4.90	2.186
781	4.30	2.116
910	3.60	2.028
1019	2.80	1.917
1191	2.00	1.792
1306	1.45	1.696
1405	1.00	1.609
1506	0.50	1.504
1708	0.00	1.386
		
170	11.15	2.718
243	10.50	2.674
313	10.25	2.657
422	9.70	2.617
523	9.00	2.565
661	8.20	2.501
898	7.00	2.398
1085	6.10	2.313
1252	5.50	2.251
1443	4.70	2.163
1614	4.00	2.079
1932	3.00	1.946
2328	2.00	1.792
2702	1.05	1.619
3337	-0.10	1.361
